TOA5,LVDT 데이터_스무딩
2025-05-30 21:00,0.18593309622222334
2025-05-30 21:05,0.19212709911765774
2025-05-30 21:10,0.1924528122714974
2025-05-30 21:15,0.19017282019462003
2025-05-30 21:20,0.18899805708724146
2025-05-30 21:25,0.1905993609069437
2025-05-30 21:30,0.18797199817067034
2025-05-30 21:35,0.18691895403130507
2025-05-30 21:40,0.18402532194965063
2025-05-30 21:45,0.17866674240237607
2025-05-30 21:50,0.17434474612507897
2025-05-30 21:55,0.1742250516313577
2025-05-30 22:00,0.17793421769359455
2025-05-30 22:05,0.17738389275818855
2025-05-30 22:10,0.17480388232996152
2025-05-30 22:15,0.17476991776845685
2025-05-30 22:20,0.16653860920070773
2025-05-30 22:25,0.16320800817944095
2025-05-30 22:30,0.1690209584065019
2025-05-30 22:35,0.16918297460812196
2025-05-30 22:40,0.1698500723858608
2025-05-30 22:45,0.16859305153814516
2025-05-30 22:50,0.16851147541936826
2025-05-30 22:55,0.1689719457382447
2025-05-30 23:00,0.16818412229570642
2025-05-30 23:05,0.16591429045815398
2025-05-30 23:10,0.1630550657007271
2025-05-30 23:15,0.16039894377785546
2025-05-30 23:20,0.159044594
2025-05-30 23:25,0.1618328425075341
2025-05-30 23:30,0.16142393365548388
2025-05-30 23:35,0.15406509194607104
2025-05-30 23:40,0.1490110836326189
2025-05-30 23:45,0.14432052234348078
2025-05-30 23:50,0.1452469188666281
2025-05-30 23:55,0.14410403467529648
2025-05-31 0:00,0.14048850419020956
2025-05-31 0:05,0.13565626174266435
2025-05-31 0:10,0.13224079883715084
2025-05-31 0:15,0.13369338098856973
2025-05-31 0:20,0.1358374390836994
2025-05-31 0:25,0.1309915583791246
2025-05-31 0:30,0.1281315296578062
2025-05-31 0:35,0.1291522725087902
2025-05-31 0:40,0.1273310962164039
2025-05-31 0:45,0.1230110370260193
2025-05-31 0:50,0.12353208427637535
2025-05-31 0:55,0.12564044171406064
2025-05-31 1:00,0.12461461874341416
2025-05-31 1:05,0.12195987462822623
2025-05-31 1:10,0.12145467653560148
2025-05-31 1:15,0.12300191087068534
2025-05-31 1:20,0.12440894671990116
2025-05-31 1:25,0.12148162097761848
2025-05-31 1:30,0.11773942539883774
2025-05-31 1:35,0.11869188957729432
2025-05-31 1:40,0.11975109161400271
2025-05-31 1:45,0.12167282165108391
2025-05-31 1:50,0.12011158494488916
2025-05-31 1:55,0.11542775248397372
2025-05-31 2:00,0.11144691071047638
2025-05-31 2:05,0.11032726864918299
2025-05-31 2:10,0.11062186898300277
2025-05-31 2:15,0.10942691647804367
2025-05-31 2:20,0.1076523322235019
2025-05-31 2:25,0.11138021374951818
2025-05-31 2:30,0.11205414813324774
2025-05-31 2:35,0.11375459584792194
2025-05-31 2:40,0.11367140597553667
2025-05-31 2:45,0.11542808164310323
2025-05-31 2:50,0.11973657948317801
2025-05-31 2:55,0.11856202610551027
2025-05-31 3:00,0.11814737881553862
2025-05-31 3:05,0.11777592710726105
2025-05-31 3:10,0.12022454478456247
2025-05-31 3:15,0.12311456194161764
2025-05-31 3:20,0.11842198491692539
2025-05-31 3:25,0.11750019953450377
2025-05-31 3:30,0.11799675210238186
2025-05-31 3:35,0.11617445142571246
2025-05-31 3:40,0.11120707313448588
2025-05-31 3:45,0.11181054416120008
2025-05-31 3:50,0.12078974887778726
2025-05-31 3:55,0.11979930905710626
2025-05-31 4:00,0.12100691234170645
2025-05-31 4:05,0.11698653069189144
2025-05-31 4:10,0.12002390044828422
2025-05-31 4:15,0.1188421813054963
2025-05-31 4:20,0.11985021220567355
2025-05-31 4:25,0.11857872292082292
2025-05-31 4:30,0.1185958129793433
2025-05-31 4:35,0.1220622227271138
2025-05-31 4:40,0.12588791985993347
2025-05-31 4:45,0.13047401536268713
2025-05-31 4:50,0.1312510464638554
2025-05-31 4:55,0.13617466115542112
2025-05-31 5:00,0.1453341984683747
2025-05-31 5:05,0.14235935729493732
2025-05-31 5:10,0.1479838042056472
2025-05-31 5:15,0.15088672265283137
2025-05-31 5:20,0.15305317813333066
2025-05-31 5:25,0.15523410496387752
2025-05-31 5:30,0.1512124678487102
2025-05-31 5:35,0.15307570368685688
2025-05-31 5:40,0.15568681237054047
2025-05-31 5:45,0.15913355704500756
2025-05-31 5:50,0.16146913040816885
2025-05-31 5:55,0.1679394201555895
2025-05-31 6:00,0.1702720398253232
2025-05-31 6:05,0.16976297338469862
2025-05-31 6:10,0.17591680138885757
2025-05-31 6:15,0.186421618
2025-05-31 6:20,0.1907849629622948
